Date,Product ID,Store ID,Stock Quantity,Reorder Needed
2023-09-28,P060,S042,32,No
2023-04-11,P087,S006,47,No
2023-10-06,P009,S039,54,No
2023-06-02,P067,S031,133,No
2023-03-22,P038,S047,26,No
2023-03-03,P085,S024,103,No
2023-05-01,P008,S046,129,No
2023-03-24,P006,S005,82,No
2023-09-04,P040,S029,58,No
2023-05-19,P085,S007,105,No
2023-06-29,P090,S050,137,No
2023-03-02,P053,S015,135,No
2023-06-27,P006,S030,94,No
2023-10-30,P033,S050,113,No
2023-07-30,P052,S024,0,Yes
2023-10-13,P045,S048,40,No
2023-06-22,P021,S005,6,Yes
2023-03-29,P075,S018,12,Yes
2023-03-12,P065,S006,127,No
2023-01-06,P094,S011,90,No
2023-01-26,P054,S002,118,No
2023-05-20,P007,S006,4,Yes
2023-09-24,P017,S041,34,No
2023-01-24,P044,S010,50,No
2023-11-22,P003,S041,78,No
2023-12-09,P100,S014,133,No
2023-10-25,P097,S045,66,No
2023-06-05,P062,S021,130,No
2023-12-27,P005,S031,7,Yes
2023-05-03,P095,S022,36,No
2023-11-23,P026,S023,113,No
2023-04-04,P054,S033,84,No
2023-12-08,P033,S020,114,No
2023-10-01,P086,S029,44,No
2023-02-12,P065,S038,11,Yes
2023-12-06,P060,S050,6,Yes
2023-12-05,P026,S028,126,No
2023-11-24,P053,S011,55,No
2023-09-15,P070,S017,49,No
2023-12-10,P098,S007,121,No
2023-04-24,P077,S028,72,No
2023-09-02,P064,S014,143,No
2023-03-05,P012,S037,95,No
2023-07-13,P062,S024,75,No
2023-06-12,P044,S016,29,No
2023-10-13,P054,S012,18,Yes
2023-02-23,P065,S009,2,Yes
2023-01-10,P093,S033,117,No
2023-07-30,P018,S011,116,No
2023-06-02,P083,S014,78,No
2023-09-30,P061,S050,13,Yes
2023-03-16,P050,S040,100,No
2023-08-17,P047,S047,124,No
2023-09-20,P100,S036,17,Yes
2023-07-24,P044,S026,0,Yes
2023-01-31,P019,S011,68,No
2023-07-02,P076,S025,105,No
2023-10-27,P075,S018,28,No
2023-08-21,P096,S038,129,No
2023-08-02,P001,S049,18,Yes
2023-09-18,P023,S025,133,No
2023-02-24,P084,S026,54,No
2023-06-22,P090,S003,118,No
2023-06-09,P056,S048,46,No
2023-05-27,P060,S030,76,No
2023-07-31,P049,S001,78,No
2023-06-28,P082,S041,8,Yes
2023-06-15,P089,S005,136,No
2023-12-04,P021,S048,89,No
2023-03-17,P083,S014,58,No
2023-12-06,P032,S028,100,No
2023-07-07,P012,S006,55,No
2023-09-06,P027,S026,108,No
2023-11-13,P030,S010,109,No
2023-07-01,P069,S029,94,No
2023-12-07,P009,S026,141,No
2023-11-18,P014,S046,39,No
2023-08-29,P007,S019,127,No
2023-05-16,P035,S027,89,No
2023-07-01,P037,S047,28,No
2023-01-24,P052,S024,111,No
2023-12-19,P022,S047,32,No
2023-01-21,P098,S034,19,Yes
2023-05-26,P003,S029,142,No
2023-09-29,P066,S036,66,No
2023-11-10,P050,S047,117,No
2023-12-20,P061,S030,66,No
2023-10-11,P051,S028,54,No
2023-03-31,P043,S004,76,No
2023-10-04,P084,S036,53,No
2023-04-17,P002,S039,69,No
2023-02-12,P076,S050,58,No
2023-08-26,P030,S029,76,No
2023-05-02,P073,S050,88,No
2023-11-21,P066,S047,136,No
2023-10-03,P053,S018,148,No
2023-08-24,P095,S009,123,No
2023-01-03,P084,S045,78,No
2023-07-31,P066,S025,44,No
2023-01-25,P065,S025,62,No
2023-05-20,P096,S008,56,No
2023-03-12,P012,S016,33,No
2023-01-30,P100,S043,71,No
2023-12-05,P064,S021,96,No
2023-04-11,P085,S044,74,No
2023-08-14,P082,S020,122,No
2023-10-04,P094,S018,82,No
2023-06-12,P061,S033,116,No
2023-06-24,P027,S019,129,No
2023-06-12,P078,S048,144,No
2023-08-15,P044,S036,85,No
2023-07-19,P099,S027,2,Yes
2023-07-13,P008,S013,92,No
2023-05-24,P025,S020,130,No
2023-12-09,P062,S010,92,No
2023-03-18,P031,S019,2,Yes
2023-08-19,P077,S001,108,No
2023-05-24,P060,S015,59,No
2023-08-22,P069,S021,48,No
2023-06-28,P046,S048,123,No
2023-07-24,P083,S002,50,No
2023-12-02,P072,S027,19,Yes
2023-11-18,P080,S029,86,No
2023-03-04,P045,S019,35,No
2023-05-30,P075,S014,138,No
2023-04-20,P025,S014,27,No
2023-11-23,P070,S013,43,No
2023-09-13,P043,S041,93,No
2023-02-17,P033,S026,116,No
2023-03-04,P078,S020,2,Yes
2023-02-27,P059,S019,53,No
2023-10-16,P062,S023,8,Yes
2023-08-17,P016,S016,149,No
2023-02-15,P026,S009,5,Yes
2023-06-14,P035,S028,22,No
2023-03-05,P030,S010,28,No
2023-01-19,P003,S045,77,No
2023-09-12,P028,S043,146,No
2023-03-05,P097,S019,31,No
2023-10-07,P048,S023,103,No
2023-05-20,P061,S028,55,No
2023-05-08,P082,S026,45,No
2023-02-19,P006,S002,143,No
2023-04-29,P068,S010,50,No
2023-01-14,P082,S048,141,No
2023-08-22,P075,S022,15,Yes
2023-06-23,P067,S050,62,No
2023-02-27,P075,S021,82,No
2023-11-20,P085,S023,134,No
2023-02-17,P021,S023,90,No
2023-08-16,P055,S032,78,No
2023-06-15,P065,S045,102,No
2023-05-18,P044,S037,65,No
2023-01-03,P067,S032,20,No
2023-07-29,P094,S010,17,Yes
2023-08-31,P053,S019,7,Yes
2023-06-11,P038,S034,25,No
2023-06-26,P005,S038,92,No
2023-08-11,P058,S041,139,No
2023-07-29,P039,S014,81,No
2023-09-03,P096,S018,64,No
2023-05-12,P015,S008,132,No
2023-10-01,P058,S042,35,No
2023-06-25,P020,S021,34,No
2023-08-27,P036,S019,55,No
2023-01-31,P088,S018,113,No
2023-09-04,P040,S031,137,No
2023-10-04,P024,S032,79,No
2023-06-18,P087,S030,129,No
2023-05-05,P053,S044,28,No
2023-08-15,P005,S002,42,No
2023-06-22,P090,S016,145,No
2023-06-25,P012,S014,63,No
2023-06-08,P007,S025,51,No
2023-01-28,P018,S039,63,No
2023-05-26,P045,S021,92,No
2023-01-02,P034,S022,100,No
2023-09-28,P010,S047,57,No
2023-09-29,P008,S045,71,No
2023-04-21,P041,S039,125,No
2023-09-08,P067,S030,27,No
2023-10-24,P094,S006,45,No
2023-01-18,P071,S017,18,Yes
2023-06-30,P059,S025,94,No
2023-01-21,P010,S039,29,No
2023-08-29,P043,S022,74,No
2023-03-01,P020,S029,118,No
2023-05-01,P065,S015,138,No
2023-02-08,P039,S039,106,No
2023-07-14,P041,S030,20,No
2023-12-04,P056,S030,44,No
2023-09-26,P071,S017,41,No
2023-03-12,P085,S042,68,No
2023-05-04,P013,S037,42,No
2023-09-15,P023,S041,68,No
2023-10-04,P037,S020,127,No
2023-03-12,P080,S001,110,No
2023-02-19,P086,S033,70,No
2023-04-04,P052,S032,121,No
2023-08-15,P077,S049,103,No
2023-10-29,P098,S039,148,No
2023-03-06,P097,S042,101,No
2023-02-07,P014,S020,53,No
2023-04-08,P016,S049,71,No
2023-08-24,P029,S037,39,No
2023-11-18,P020,S036,135,No
2023-09-17,P015,S019,39,No
2023-10-14,P053,S015,55,No
2023-01-14,P018,S049,120,No
2023-01-19,P052,S042,90,No
2023-09-27,P066,S001,108,No
2023-12-15,P082,S003,53,No
2023-05-07,P064,S025,16,Yes
2023-11-28,P086,S048,73,No
2023-12-28,P005,S050,37,No
2023-01-27,P049,S012,118,No
2023-06-10,P031,S041,132,No
2023-08-05,P092,S022,131,No
2023-02-09,P068,S033,100,No
2023-11-22,P039,S015,107,No
2023-11-28,P065,S033,26,No
2023-10-19,P095,S035,20,No
2023-11-30,P048,S035,131,No
2023-07-28,P035,S015,76,No
2023-01-07,P076,S023,47,No
2023-03-10,P069,S038,85,No
2023-10-02,P063,S029,17,Yes
2023-12-02,P094,S049,53,No
2023-07-11,P073,S005,146,No
2023-04-23,P009,S007,112,No
2023-01-17,P034,S029,63,No
2023-01-05,P071,S016,56,No
2023-03-05,P058,S004,108,No
2023-12-18,P062,S047,142,No
2023-10-06,P088,S032,93,No
2023-07-09,P036,S027,84,No
2023-07-31,P016,S025,45,No
2023-03-10,P027,S038,123,No
2023-08-02,P003,S005,58,No
2023-10-15,P093,S040,58,No
2023-08-01,P010,S037,82,No
2023-03-26,P001,S024,146,No
2023-05-15,P046,S010,134,No
2023-04-21,P083,S025,112,No
2023-05-08,P001,S038,15,Yes
2023-12-26,P036,S001,86,No
2023-12-06,P084,S015,100,No
2023-04-26,P094,S026,3,Yes
2023-06-19,P050,S005,93,No
2023-07-13,P016,S001,125,No
2023-05-07,P084,S006,107,No
2023-09-05,P031,S028,144,No
2023-02-01,P023,S037,109,No
2023-12-20,P065,S034,138,No
2023-01-21,P001,S041,112,No
2023-08-07,P049,S048,2,Yes
2023-03-29,P075,S047,51,No
2023-11-03,P017,S035,141,No
2023-02-17,P067,S030,65,No
2023-04-26,P003,S046,138,No
2023-12-11,P076,S048,59,No
2023-11-08,P092,S048,140,No
2023-02-05,P031,S042,50,No
2023-04-18,P084,S031,105,No
2023-07-23,P050,S029,125,No
2023-03-16,P070,S032,39,No
2023-11-11,P073,S014,2,Yes
2023-01-31,P099,S008,50,No
2023-09-14,P032,S022,7,Yes
2023-06-07,P091,S017,91,No
2023-01-14,P036,S026,21,No
2023-06-26,P095,S015,71,No
2023-02-28,P007,S050,115,No
2023-08-05,P088,S016,63,No
2023-04-22,P035,S014,104,No
2023-10-24,P009,S026,146,No
2023-07-15,P057,S021,138,No
2023-09-20,P061,S042,86,No
2023-09-19,P061,S027,42,No
2023-08-26,P010,S044,87,No
2023-10-22,P098,S038,145,No
2023-01-25,P072,S025,123,No
2023-07-04,P029,S002,122,No
2023-09-08,P021,S027,70,No
2023-09-28,P080,S002,89,No
2023-02-07,P086,S013,121,No
2023-07-17,P075,S012,140,No
2023-08-11,P041,S035,87,No
2023-11-05,P059,S014,29,No
2023-07-10,P077,S025,75,No
2023-09-19,P023,S015,85,No
2023-07-23,P076,S005,126,No
2023-10-09,P041,S018,1,Yes
2023-09-03,P091,S048,49,No
2023-08-26,P069,S003,146,No
2023-04-03,P018,S035,138,No
2023-09-14,P013,S043,14,Yes
2023-04-19,P082,S017,54,No
2023-09-22,P024,S038,68,No
2023-05-19,P047,S030,34,No
2023-11-19,P086,S028,76,No
2023-10-01,P030,S034,21,No
2023-02-25,P033,S025,50,No
2023-02-16,P017,S001,32,No
2023-01-08,P037,S026,80,No
2023-12-29,P076,S007,15,Yes
2023-04-23,P009,S031,1,Yes
2023-09-09,P035,S010,41,No
2023-08-13,P083,S025,119,No
2023-10-20,P015,S041,113,No
2023-05-10,P056,S029,96,No
2023-01-08,P020,S040,7,Yes
2023-04-23,P079,S015,114,No
2023-07-20,P090,S005,15,Yes
2023-07-13,P093,S025,97,No
2023-10-22,P034,S028,9,Yes
2023-01-15,P035,S041,136,No
2023-05-09,P015,S044,80,No
2023-07-13,P058,S030,145,No
2023-09-06,P083,S010,73,No
2023-07-14,P002,S037,53,No
2023-07-17,P097,S050,4,Yes
2023-11-08,P004,S020,63,No
2023-02-22,P015,S004,136,No
2023-10-24,P048,S034,101,No
2023-06-10,P073,S049,2,Yes
2023-05-08,P057,S011,110,No
2023-01-12,P085,S043,90,No
2023-09-12,P086,S026,31,No
2023-06-22,P057,S018,146,No
2023-05-09,P022,S033,0,Yes
2023-07-08,P074,S001,146,No
2023-01-03,P081,S018,19,Yes
2023-11-04,P041,S009,81,No
2023-11-02,P032,S037,25,No
2023-08-15,P016,S043,1,Yes
2023-07-30,P013,S010,50,No
2023-12-24,P039,S020,25,No
2023-07-09,P037,S010,21,No
2023-01-10,P013,S046,70,No
2023-03-15,P094,S008,21,No
2023-08-29,P060,S016,49,No
2023-03-05,P005,S033,102,No
2023-10-22,P034,S045,5,Yes
2023-12-17,P071,S001,11,Yes
2023-01-05,P013,S033,29,No
2023-08-27,P060,S047,139,No
2023-12-28,P067,S006,141,No
2023-10-15,P034,S013,31,No
2023-12-23,P040,S039,68,No
2023-11-23,P057,S001,117,No
2023-05-01,P097,S033,96,No
2023-12-01,P010,S005,67,No
2023-05-15,P088,S032,150,No
2023-07-18,P089,S008,104,No
2023-02-02,P060,S037,96,No
2023-10-11,P056,S049,149,No
2023-06-07,P011,S025,139,No
2023-05-15,P003,S048,122,No
2023-11-13,P015,S035,147,No
2023-03-13,P009,S001,124,No
2023-05-17,P063,S041,14,Yes
2023-04-17,P077,S016,59,No
2023-04-03,P013,S023,95,No
2023-10-13,P020,S003,39,No
2023-08-26,P100,S035,90,No
2023-04-05,P076,S005,1,Yes
2023-06-04,P081,S029,88,No
2023-09-04,P049,S014,81,No
2023-08-25,P008,S029,129,No
2023-11-21,P026,S022,130,No
2023-07-04,P027,S007,107,No
2023-02-09,P072,S017,29,No
2023-04-21,P025,S014,103,No
2023-05-30,P078,S006,37,No
2023-11-07,P009,S047,138,No
2023-05-20,P071,S038,13,Yes
2023-10-16,P036,S008,88,No
2023-09-04,P054,S026,133,No
2023-10-09,P041,S003,148,No
2023-01-20,P021,S036,43,No
2023-11-21,P056,S038,97,No
2023-01-10,P100,S049,37,No
2023-11-22,P093,S030,116,No
2023-05-21,P004,S030,60,No
2023-11-07,P088,S011,63,No
2023-06-18,P042,S034,140,No
2023-07-18,P052,S049,135,No
2023-03-16,P068,S039,19,Yes
2023-03-02,P066,S007,118,No
2023-07-19,P011,S012,87,No
2023-11-06,P092,S032,39,No
2023-08-27,P028,S041,84,No
2023-06-14,P005,S008,73,No
2023-11-09,P069,S007,84,No
2023-03-03,P029,S009,134,No
2023-11-08,P076,S011,98,No
2023-02-20,P016,S001,5,Yes
2023-08-10,P057,S017,134,No
2023-10-29,P036,S044,58,No
2023-11-04,P069,S026,15,Yes
2023-01-04,P037,S003,54,No
2023-04-26,P024,S046,55,No
2023-02-12,P014,S023,44,No
2023-03-24,P030,S031,40,No
2023-03-21,P056,S011,79,No
2023-09-16,P001,S002,103,No
2023-05-10,P038,S005,30,No
2023-06-01,P083,S007,37,No
2023-09-22,P036,S003,143,No
2023-04-12,P014,S047,31,No
2023-08-08,P051,S041,3,Yes
2023-07-10,P081,S012,134,No
2023-08-05,P036,S018,122,No
2023-06-10,P065,S004,143,No
2023-06-08,P035,S026,13,Yes
2023-02-03,P088,S016,80,No
2023-10-02,P044,S041,37,No
2023-06-18,P066,S034,38,No
2023-02-28,P053,S047,118,No
2023-09-23,P092,S039,79,No
2023-04-28,P048,S042,84,No
2023-01-01,P076,S041,133,No
2023-09-17,P072,S031,136,No
2023-06-18,P100,S034,130,No
2023-06-18,P078,S048,109,No
2023-12-24,P028,S044,112,No
2023-04-30,P025,S045,26,No
2023-07-06,P033,S023,74,No
2023-12-09,P084,S008,46,No
2023-11-20,P078,S011,41,No
2023-04-19,P024,S016,50,No
2023-10-02,P089,S029,37,No
2023-06-11,P100,S011,82,No
2023-12-16,P044,S036,68,No
2023-10-05,P072,S027,145,No
2023-04-02,P098,S005,68,No
2023-09-14,P013,S009,138,No
2023-06-18,P024,S016,70,No
2023-11-24,P026,S011,32,No
2023-09-05,P020,S039,131,No
2023-07-03,P024,S027,147,No
2023-10-10,P088,S020,19,Yes
2023-02-17,P082,S013,26,No
2023-02-20,P070,S001,105,No
2023-07-03,P012,S043,24,No
2023-10-18,P061,S017,65,No
2023-01-06,P100,S024,125,No
2023-11-22,P013,S039,104,No
2023-11-01,P071,S031,49,No
2023-11-12,P019,S012,103,No
2023-03-19,P074,S032,26,No
2023-07-23,P080,S007,68,No
2023-11-29,P021,S017,94,No
2023-09-13,P005,S019,11,Yes
2023-01-24,P010,S045,29,No
2023-01-19,P087,S041,129,No
2023-08-14,P093,S013,117,No
2023-01-08,P078,S025,122,No
2023-07-20,P087,S021,6,Yes
2023-12-20,P098,S050,49,No
2023-01-02,P095,S026,62,No
2023-01-30,P063,S019,73,No
2023-07-20,P030,S021,89,No
2023-10-16,P005,S034,68,No
2023-01-21,P013,S036,51,No
2023-03-20,P044,S018,25,No
2023-07-12,P091,S017,107,No
2023-03-12,P031,S024,55,No
2023-03-19,P069,S049,47,No
2023-04-16,P067,S042,7,Yes
2023-01-23,P048,S044,79,No
2023-05-03,P056,S049,14,Yes
2023-02-22,P099,S007,3,Yes
2023-11-10,P077,S021,93,No
2023-05-03,P056,S049,104,No
2023-03-06,P071,S042,64,No
2023-04-05,P063,S042,21,No
2023-09-07,P059,S036,142,No
2023-09-22,P017,S001,44,No
2023-01-03,P074,S036,140,No
2023-11-09,P086,S035,104,No
2023-06-30,P028,S043,39,No
2023-07-19,P027,S031,59,No
2023-12-05,P008,S033,89,No
2023-07-19,P017,S011,91,No
2023-12-18,P003,S019,64,No
2023-01-09,P023,S016,52,No
2023-01-14,P022,S026,6,Yes
2023-12-07,P033,S044,13,Yes
2023-09-20,P043,S041,135,No
2023-06-04,P014,S016,92,No
2023-04-05,P060,S024,39,No
2023-11-04,P044,S012,115,No
2023-10-24,P055,S043,102,No
2023-07-23,P084,S042,52,No
2023-05-06,P011,S048,126,No
2023-03-19,P022,S027,24,No
2023-03-25,P100,S038,33,No
2023-01-18,P073,S010,136,No
2023-03-06,P054,S039,22,No
2023-06-09,P048,S016,53,No
2023-04-29,P090,S048,86,No
2023-03-11,P079,S033,90,No
2023-08-26,P068,S050,63,No
2023-03-21,P020,S048,144,No
2023-07-05,P006,S027,9,Yes
2023-06-18,P058,S010,103,No
2023-05-26,P077,S001,77,No
2023-02-20,P063,S035,8,Yes
2023-09-10,P019,S046,110,No
2023-10-16,P043,S035,126,No
2023-01-20,P027,S005,30,No
2023-09-30,P058,S020,145,No
2023-09-03,P032,S018,73,No
2023-12-26,P085,S041,77,No
2023-04-28,P058,S015,69,No
2023-11-10,P077,S030,100,No
2023-02-26,P080,S019,115,No
2023-12-19,P039,S030,120,No
2023-04-13,P053,S033,102,No
2023-02-12,P035,S021,114,No
2023-12-24,P099,S033,115,No
2023-07-25,P078,S031,34,No
2023-08-01,P044,S039,42,No
2023-08-05,P052,S004,5,Yes
2023-01-29,P030,S032,41,No
2023-12-15,P007,S038,37,No
2023-05-27,P077,S030,10,Yes
2023-07-09,P080,S010,115,No
2023-02-26,P062,S012,40,No
2023-10-26,P057,S038,30,No
2023-08-12,P029,S031,94,No
2023-10-18,P090,S006,148,No
2023-04-05,P006,S044,4,Yes
2023-04-05,P012,S019,42,No
2023-01-02,P022,S021,10,Yes
2023-01-10,P060,S033,97,No
2023-04-12,P008,S047,147,No
2023-07-28,P046,S014,139,No
2023-06-19,P009,S038,20,No
2023-06-13,P010,S035,121,No
2023-12-28,P059,S003,88,No
2023-09-08,P074,S010,123,No
2023-02-25,P015,S007,112,No
2023-02-27,P067,S023,62,No
2023-08-21,P075,S027,1,Yes
2023-09-15,P063,S028,3,Yes
2023-11-06,P095,S015,11,Yes
2023-07-18,P089,S003,106,No
2023-01-05,P059,S015,20,No
2023-11-14,P085,S031,145,No
2023-04-12,P055,S019,136,No
2023-07-31,P025,S032,96,No
2023-02-14,P009,S024,17,Yes
2023-02-08,P040,S011,4,Yes
2023-04-25,P071,S044,4,Yes
2023-02-26,P020,S031,98,No
2023-10-11,P042,S022,7,Yes
2023-07-16,P093,S037,66,No
2023-06-20,P021,S023,121,No
2023-10-15,P076,S014,40,No
2023-07-24,P099,S003,0,Yes
2023-12-15,P026,S026,148,No
2023-11-04,P049,S049,89,No
2023-11-17,P097,S026,121,No
2023-06-25,P076,S002,145,No
2023-11-01,P067,S022,127,No
2023-07-18,P033,S036,97,No
2023-09-14,P021,S045,73,No
2023-01-13,P073,S049,79,No
2023-02-20,P049,S019,42,No
2023-04-14,P036,S045,54,No
2023-08-16,P095,S021,123,No
2023-03-05,P058,S045,90,No
2023-09-09,P080,S035,53,No
2023-12-28,P040,S040,21,No
2023-02-08,P070,S046,139,No
2023-04-29,P080,S022,16,Yes
2023-11-07,P034,S026,100,No
2023-10-19,P042,S032,24,No
2023-04-10,P025,S002,66,No
2023-12-30,P027,S041,89,No
2023-03-16,P078,S027,148,No
2023-08-13,P032,S047,45,No
2023-10-30,P063,S016,56,No
2023-06-29,P094,S023,82,No
2023-12-07,P076,S029,28,No
2023-05-24,P049,S042,82,No
2023-07-12,P044,S025,40,No
2023-05-24,P025,S049,63,No
2023-09-17,P020,S017,76,No
2023-11-23,P042,S010,85,No
2023-10-29,P086,S003,38,No
2023-05-28,P075,S019,145,No
2023-03-28,P054,S019,130,No
2023-02-14,P049,S045,32,No
2023-12-03,P007,S007,98,No
2023-02-05,P018,S024,138,No
2023-06-02,P091,S029,118,No
2023-04-22,P030,S041,19,Yes
2023-04-23,P020,S017,140,No
2023-01-11,P055,S017,133,No
2023-09-14,P060,S011,56,No
2023-12-14,P027,S036,63,No
2023-01-14,P075,S016,22,No
2023-09-04,P046,S005,84,No
2023-04-13,P083,S022,12,Yes
