Transaction Date,Product Ref,StoreCode,Cust-ID,Qty,UnitPrice,DiscountRate,TotalRevenue,Channel Used
"Nov 15, 2023",p002,S011 ,C0026,1,495.03,0%,495.03 USD,in-store
"Jul 11, 2023",p096,S005 ,C0044,5,206.17,10%,927.76 USD,Wholesale
"May 06, 2023",p022,S028 ,C0093,6,139.65,10%,754.11 USD,Wholesale
2023-03-12,p012,S025 ,C0086,1,222.18,10%,€199.96,in-store
"Oct 02, 2023",p020,S036 ,C0055,2,188.14,15%,€319.84,online 
28/07/2023,p004,S010 ,C0048,7,20.52,15%,€122.09,web
"Mar 23, 2023",p044,S038 ,C0067,4,418.15,5%,€1588.97,in-store
24/11/2023,p079,S033 ,C0085,7,150.12,10%,$945.76,online 
"Jan 27, 2023",p011,S034 ,C0036,7,463.93,15%,2760.38 USD,online 
"Nov 03, 2023",p032,S013 ,C0027,2,263.83,0%,€527.66,in-store
2023-09-22,p088,S039 ,C0041,4,142.02,15%,482.87 USD,Wholesale
"Feb 08, 2023",p042,S027 ,C0094,4,203.25,5%,$772.35,web
06/01/2023,p056,S040 ,C0051,3,457.4,0%,€1372.2,in-store
16/06/2023,p043,S035 ,C0087,7,82.67,0%,$578.69,Wholesale
2023-05-20,p030,S029 ,C0082,6,283.93,10%,€1533.22,web
19/10/2023,p071,S003 ,C0046,7,428.28,0%,2997.96 USD,online 
"Aug 27, 2023",p011,S013 ,C0028,4,306.48,0%,$1225.92,online 
31/08/2023,p070,S039 ,C0054,5,348.86,15%,€1482.66,online 
22/09/2023,p009,S010 ,C0028,7,167.78,0%,$1174.46,online 
"Nov 02, 2023",p006,S041 ,C0011,1,215.69,15%,€183.34,web
07/03/2023,p098,S039 ,C0030,2,332.26,5%,€631.29,web
2023-04-08,p083,S021 ,C0069,8,438.18,15%,€2979.62,web
28/05/2023,p034,S007 ,C0048,6,85.57,5%,$487.75,Wholesale
"May 13, 2023",p009,S029 ,C0047,8,417.15,15%,2836.62 USD,online 
2023-01-06,p020,S006 ,C0093,8,379.61,10%,€2733.19,Wholesale
2023-10-11,p097,S045 ,C0021,2,100.87,5%,€191.65,online 
10/03/2023,p042,S048 ,C0022,8,492.3,10%,$3544.56,online 
"Mar 03, 2023",p083,S038 ,C0099,2,495.63,15%,€842.57,in-store
2023-12-07,p030,S002 ,C0023,5,109.83,0%,€549.15,Wholesale
29/10/2023,p057,S029 ,C0074,6,132.42,0%,€794.52,web
25/11/2023,p074,S031 ,C0001,2,179.3,0%,358.6 USD,Wholesale
"Jun 09, 2023",p060,S002 ,C0070,2,320.62,0%,€641.24,in-store
"Oct 07, 2023",p076,S048 ,C0095,2,429.48,15%,€730.12,Wholesale
2023-08-14,p039,S012 ,C0048,3,62.05,15%,$158.23,web
2023-07-16,p078,S030 ,C0083,4,359.4,0%,€1437.6,web
2023-03-27,p007,S046 ,C0022,7,351.26,10%,€2212.94,Wholesale
11/11/2023,p082,S019 ,C0053,2,106.77,0%,$213.54,Wholesale
2023-02-24,p070,S038 ,C0041,8,295.74,5%,€2247.62,online 
08/10/2023,p011,S011 ,C0059,3,318.22,0%,€954.66,web
31/07/2023,p047,S011 ,C0056,5,385.57,10%,€1735.07,web
2023-07-19,p065,S029 ,C0063,4,290.54,5%,1104.05 USD,in-store
"Feb 12, 2023",p018,S019 ,C0092,8,77.49,10%,557.93 USD,Wholesale
"Mar 10, 2023",p051,S036 ,C0011,5,480.34,5%,$2281.61,web
2023-10-01,p097,S026 ,C0043,7,131.57,15%,$782.84,online 
2023-08-23,p081,S001 ,C0012,4,277.47,0%,€1109.88,Wholesale
2023-03-18,p065,S002 ,C0098,6,382.48,0%,€2294.88,online 
2023-06-04,p075,S025 ,C0035,3,416.83,10%,€1125.44,web
"Aug 01, 2023",p042,S039 ,C0080,2,221.84,10%,399.31 USD,in-store
"Jun 06, 2023",p033,S026 ,C0006,5,340.85,10%,€1533.83,web
"Aug 25, 2023",p051,S046 ,C0024,5,97.96,5%,465.31 USD,in-store
2023-11-25,p051,S009 ,C0003,1,383.36,15%,€325.86,web
19/02/2023,p053,S034 ,C0093,7,455.77,5%,3030.87 USD,in-store
2023-06-21,p087,S036 ,C0097,5,193.27,10%,€869.72,web
2023-08-30,p096,S029 ,C0097,1,409.4,5%,$388.93,in-store
2023-04-13,p080,S028 ,C0043,8,41.24,15%,$280.43,online 
"Jul 19, 2023",p064,S040 ,C0082,6,84.36,0%,506.16 USD,web
"Jun 30, 2023",p010,S029 ,C0052,6,144.67,10%,$781.22,in-store
2023-11-28,p006,S016 ,C0014,1,442.8,10%,$398.52,Wholesale
2023-11-20,p035,S034 ,C0037,2,494.54,15%,€840.72,web
"Feb 22, 2023",p024,S042 ,C0097,2,333.57,15%,€567.07,web
31/03/2023,p067,S030 ,C0046,8,40.44,5%,$307.34,in-store
"Sep 29, 2023",p085,S032 ,C0088,7,466.86,5%,$3104.62,online 
29/01/2023,p021,S017 ,C0065,8,212.27,0%,$1698.16,web
02/03/2023,p085,S014 ,C0027,8,273.12,5%,€2075.71,Wholesale
01/02/2023,p019,S001 ,C0047,7,140.28,10%,$883.76,online 
2023-03-24,p077,S035 ,C0067,1,440.97,5%,$418.92,online 
"Sep 05, 2023",p025,S048 ,C0099,7,77.77,10%,489.95 USD,Wholesale
2023-12-24,p022,S019 ,C0054,6,440.94,0%,€2645.64,web
"May 28, 2023",p005,S038 ,C0006,8,434.32,15%,$2953.38,in-store
"Dec 03, 2023",p013,S033 ,C0005,1,435.22,15%,€369.94,Wholesale
"Nov 04, 2023",p057,S037 ,C0017,8,78.25,5%,594.7 USD,Wholesale
"Sep 12, 2023",p098,S048 ,C0091,7,96.98,5%,$644.92,Wholesale
"Nov 13, 2023",p070,S027 ,C0018,8,499.16,5%,€3793.62,Wholesale
"May 27, 2023",p061,S019 ,C0006,3,317.06,10%,856.06 USD,web
27/06/2023,p047,S026 ,C0091,3,467.4,0%,1402.2 USD,in-store
"Dec 06, 2023",p062,S043 ,C0042,2,88.32,5%,167.81 USD,web
"May 14, 2023",p032,S017 ,C0082,6,401.06,0%,€2406.36,online 
31/05/2023,p079,S033 ,C0049,4,252.78,15%,€859.45,online 
"May 30, 2023",p097,S014 ,C0089,2,192.29,5%,$365.35,online 
2023-03-22,p028,S016 ,C0043,4,216.55,0%,€866.2,Wholesale
"Jul 30, 2023",p024,S033 ,C0005,6,20.04,0%,$120.24,in-store
11/02/2023,p061,S039 ,C0031,4,191.15,0%,764.6 USD,Wholesale
"Mar 21, 2023",p072,S011 ,C0011,1,147.39,0%,€147.39,Wholesale
23/12/2023,p059,S008 ,C0050,5,176.1,0%,$880.50,Wholesale
2023-04-26,p046,S050 ,C0053,7,114.98,15%,684.13 USD,web
"Apr 23, 2023",p092,S002 ,C0073,2,168.81,10%,303.86 USD,online 
2023-05-04,p030,S020 ,C0006,3,276.63,0%,829.89 USD,web
2023-03-02,p024,S036 ,C0027,2,112.12,15%,$190.60,in-store
16/08/2023,p033,S019 ,C0061,4,224.01,10%,$806.44,web
"Dec 07, 2023",p031,S022 ,C0086,2,447.45,0%,€894.9,in-store
2023-09-16,p022,S045 ,C0068,3,389.68,0%,€1169.04,web
2023-12-18,p029,S004 ,C0096,8,235.76,15%,€1603.17,online 
28/05/2023,p079,S033 ,C0099,3,48.24,15%,$123.01,in-store
2023-12-23,p082,S030 ,C0100,5,58.15,5%,€276.21,Wholesale
2023-07-08,p075,S004 ,C0042,3,254.7,5%,$725.89,web
2023-06-01,p042,S041 ,C0089,3,55.29,5%,€157.58,online 
2023-09-03,p092,S046 ,C0078,6,103.87,15%,€529.74,Wholesale
2023-06-11,p017,S016 ,C0008,7,456.88,0%,3198.16 USD,in-store
2023-12-08,p050,S034 ,C0072,8,176.01,10%,1267.27 USD,Wholesale
2023-10-03,p060,S044 ,C0023,7,162.45,5%,1080.29 USD,in-store
"Dec 17, 2023",p072,S040 ,C0023,6,347.81,0%,$2086.86,Wholesale
2023-06-11,p072,S022 ,C0096,7,411.81,10%,2594.4 USD,web
10/11/2023,p094,S007 ,C0086,4,373.61,10%,$1345.00,web
2023-08-29,p058,S008 ,C0025,2,336.33,5%,639.03 USD,Wholesale
2023-09-17,p072,S042 ,C0071,3,249.14,5%,710.05 USD,online 
"Jul 10, 2023",p033,S013 ,C0068,5,368.65,15%,€1566.76,Wholesale
"Jul 09, 2023",p076,S018 ,C0017,2,277.87,10%,€500.17,web
"Jan 27, 2023",p046,S007 ,C0048,4,273.82,0%,1095.28 USD,in-store
"Aug 16, 2023",p071,S046 ,C0094,4,285.35,10%,$1027.26,online 
"Mar 15, 2023",p020,S001 ,C0092,6,455.16,10%,2457.86 USD,Wholesale
2023-12-12,p017,S013 ,C0009,8,112.34,10%,€808.85,in-store
18/08/2023,p020,S028 ,C0018,7,306.42,15%,$1823.20,Wholesale
24/11/2023,p066,S018 ,C0033,5,293.26,0%,1466.3 USD,Wholesale
2023-07-28,p075,S007 ,C0023,7,254.79,15%,€1516.0,Wholesale
"Apr 08, 2023",p060,S024 ,C0094,1,326.52,5%,310.19 USD,web
28/10/2023,p089,S006 ,C0013,6,294.82,10%,$1592.03,Wholesale
2023-12-15,p082,S025 ,C0082,6,305.05,15%,$1555.76,in-store
2023-10-30,p036,S044 ,C0030,1,262.48,15%,223.11 USD,Wholesale
"Nov 09, 2023",p061,S014 ,C0055,1,249.73,0%,€249.73,web
"Nov 06, 2023",p063,S020 ,C0059,7,191.67,10%,€1207.52,online 
"Sep 23, 2023",p087,S049 ,C0097,8,222.06,15%,€1510.01,in-store
2023-04-18,p050,S035 ,C0100,6,119.86,5%,$683.20,in-store
2023-01-15,p061,S032 ,C0039,5,33.01,15%,140.29 USD,Wholesale
2023-01-04,p037,S004 ,C0007,3,281.33,5%,$801.79,web
03/03/2023,p009,S003 ,C0024,1,364.81,15%,310.09 USD,web
2023-11-01,p071,S043 ,C0078,4,85.06,10%,306.22 USD,Wholesale
27/05/2023,p047,S009 ,C0075,5,269.97,15%,€1147.37,web
18/09/2023,p027,S004 ,C0079,5,154.6,15%,€657.05,in-store
03/08/2023,p045,S037 ,C0027,4,283.97,0%,€1135.88,in-store
2023-03-06,p077,S043 ,C0049,6,308.84,5%,1760.39 USD,web
"May 04, 2023",p087,S024 ,C0097,8,35.53,5%,€270.03,in-store
04/03/2023,p013,S002 ,C0010,2,64.9,15%,€110.33,web
"Dec 19, 2023",p076,S030 ,C0008,1,289.7,15%,€246.24,online 
09/06/2023,p080,S018 ,C0067,1,337.58,10%,$303.82,Wholesale
2023-03-12,p075,S028 ,C0086,4,298.53,0%,1194.12 USD,Wholesale
23/03/2023,p044,S015 ,C0100,8,290.46,0%,€2323.68,online 
"Aug 29, 2023",p054,S049 ,C0086,1,492.79,10%,$443.51,web
"Nov 29, 2023",p058,S036 ,C0068,6,241.46,5%,€1376.32,online 
2023-08-02,p006,S024 ,C0007,4,460.37,5%,1749.41 USD,Wholesale
2023-05-24,p085,S009 ,C0091,1,367.7,0%,367.7 USD,in-store
"Feb 05, 2023",p073,S042 ,C0044,1,417.99,15%,355.29 USD,in-store
18/09/2023,p065,S031 ,C0043,2,207.65,0%,$415.30,in-store
2023-05-29,p022,S009 ,C0017,7,49.39,10%,311.16 USD,online 
"Mar 07, 2023",p077,S045 ,C0001,3,237.67,10%,$641.71,in-store
"Sep 01, 2023",p057,S032 ,C0069,3,122.56,10%,330.91 USD,Wholesale
01/09/2023,p031,S045 ,C0017,8,420.49,0%,€3363.92,online 
13/12/2023,p073,S008 ,C0078,4,344.86,15%,1172.52 USD,web
"Apr 19, 2023",p061,S017 ,C0061,5,499.15,5%,$2370.96,web
2023-04-08,p025,S014 ,C0037,5,244.82,15%,$1040.48,Wholesale
2023-10-31,p079,S038 ,C0100,7,210.33,15%,$1251.46,Wholesale
"May 25, 2023",p016,S012 ,C0071,3,444.09,5%,€1265.66,online 
25/08/2023,p027,S026 ,C0028,4,225.03,10%,€810.11,online 
11/03/2023,p098,S047 ,C0039,2,101.47,10%,$182.65,in-store
"Mar 01, 2023",p054,S032 ,C0040,3,139.85,10%,377.59 USD,Wholesale
31/12/2023,p054,S013 ,C0087,8,225.06,15%,€1530.41,web
23/07/2023,p059,S019 ,C0025,7,115.28,0%,$806.96,web
02/05/2023,p074,S017 ,C0078,5,309.45,0%,1547.25 USD,Wholesale
"Aug 23, 2023",p074,S040 ,C0068,5,262.79,15%,€1116.86,web
"Jun 06, 2023",p065,S032 ,C0038,7,99.27,15%,$590.66,web
07/10/2023,p006,S046 ,C0014,7,440.51,5%,2929.39 USD,web
"Jul 28, 2023",p060,S003 ,C0093,5,138.3,0%,$691.50,web
2023-11-01,p056,S019 ,C0013,7,321.85,5%,2140.3 USD,in-store
"Mar 18, 2023",p040,S049 ,C0057,7,161.16,0%,$1128.12,online 
2023-11-27,p088,S009 ,C0067,8,378.98,5%,$2880.25,online 
"Dec 16, 2023",p050,S022 ,C0018,8,241.13,15%,€1639.68,online 
2023-03-15,p056,S049 ,C0080,1,387.35,10%,€348.62,web
2023-02-09,p098,S025 ,C0071,4,84.08,5%,319.5 USD,web
"Jul 28, 2023",p071,S041 ,C0040,8,342.07,5%,€2599.73,online 
"Jul 08, 2023",p014,S038 ,C0059,1,315.83,10%,$284.25,web
08/04/2023,p006,S024 ,C0012,6,298.71,15%,$1523.42,Wholesale
2023-09-29,p037,S010 ,C0048,3,128.87,5%,367.28 USD,online 
12/02/2023,p032,S012 ,C0027,6,239.38,0%,€1436.28,web
2023-06-12,p026,S032 ,C0034,1,30.54,5%,€29.01,in-store
"May 20, 2023",p049,S049 ,C0022,5,137.58,10%,619.11 USD,Wholesale
"Jan 15, 2023",p014,S030 ,C0088,4,165.99,5%,630.76 USD,web
2023-03-20,p068,S014 ,C0073,3,76.76,10%,207.25 USD,online 
2023-10-14,p058,S022 ,C0069,7,264.04,0%,€1848.28,web
"Aug 11, 2023",p084,S012 ,C0099,4,333.26,10%,1199.74 USD,web
17/04/2023,p041,S015 ,C0031,3,181.09,15%,$461.78,in-store
"Jan 27, 2023",p029,S016 ,C0036,8,370.24,0%,2961.92 USD,web
"Nov 17, 2023",p002,S030 ,C0008,8,27.71,10%,199.51 USD,online 
"Nov 08, 2023",p074,S033 ,C0049,7,58.46,5%,€388.76,web
05/12/2023,p033,S008 ,C0005,8,472.89,15%,$3215.65,online 
"Dec 26, 2023",p005,S038 ,C0070,2,180.6,10%,325.08 USD,online 
"Jun 28, 2023",p058,S030 ,C0016,6,119.6,5%,€681.72,online 
2023-07-29,p075,S030 ,C0007,2,347.31,10%,€625.16,in-store
2023-07-21,p003,S020 ,C0019,4,316.81,15%,€1077.15,in-store
26/06/2023,p098,S041 ,C0093,7,105.86,15%,$629.87,in-store
"Jun 28, 2023",p085,S008 ,C0022,5,395.82,0%,$1979.10,Wholesale
"Oct 27, 2023",p098,S006 ,C0040,2,391.09,0%,$782.18,Wholesale
18/05/2023,p001,S031 ,C0018,5,132.85,5%,$631.04,online 
2023-10-14,p017,S015 ,C0054,6,207.85,5%,1184.74 USD,web
24/09/2023,p052,S006 ,C0055,5,335.13,0%,$1675.65,Wholesale
2023-09-12,p071,S001 ,C0043,7,189.77,0%,$1328.39,web
2023-02-02,p040,S040 ,C0084,4,77.89,10%,$280.40,in-store
2023-08-17,p056,S007 ,C0075,4,191.86,10%,€690.7,online 
"Jul 04, 2023",p028,S048 ,C0064,1,286.94,15%,$243.90,Wholesale
"Dec 29, 2023",p016,S042 ,C0011,8,236.64,15%,€1609.15,online 
10/11/2023,p060,S003 ,C0035,8,219.67,0%,€1757.36,online 
"Jan 10, 2023",p090,S014 ,C0003,7,223.32,10%,$1406.92,online 
20/02/2023,p061,S046 ,C0016,3,376.25,5%,1072.31 USD,in-store
"Nov 16, 2023",p084,S041 ,C0050,1,171.76,10%,$154.58,in-store
"Jan 05, 2023",p028,S047 ,C0023,3,247.85,15%,€632.02,in-store
"Sep 03, 2023",p057,S030 ,C0074,4,30.71,15%,104.41 USD,Wholesale
04/09/2023,p031,S018 ,C0060,1,190.51,10%,€171.46,in-store
2023-08-07,p076,S013 ,C0049,3,209.84,5%,$598.04,web
2023-04-24,p081,S035 ,C0009,3,390.1,0%,€1170.3,online 
"Oct 27, 2023",p070,S044 ,C0047,1,100.45,5%,€95.43,online 
01/09/2023,p005,S017 ,C0095,7,42.57,10%,$268.19,online 
"Nov 08, 2023",p040,S035 ,C0074,6,146.5,5%,€835.05,Wholesale
"Dec 14, 2023",p015,S044 ,C0004,6,389.3,10%,€2102.22,Wholesale
"Nov 08, 2023",p058,S006 ,C0052,4,225.34,15%,$766.16,in-store
2023-05-30,p021,S034 ,C0043,7,330.72,10%,$2083.54,in-store
2023-11-14,p018,S024 ,C0021,2,228.0,10%,$410.40,in-store
27/04/2023,p093,S018 ,C0011,4,275.55,15%,936.87 USD,in-store
"Jul 04, 2023",p015,S022 ,C0037,7,20.62,10%,$129.91,Wholesale
"Mar 10, 2023",p015,S014 ,C0030,2,308.83,15%,525.01 USD,web
"Feb 07, 2023",p068,S045 ,C0083,3,103.13,15%,262.98 USD,online 
15/01/2023,p021,S033 ,C0096,4,70.26,0%,€281.04,web
"May 22, 2023",p095,S025 ,C0077,7,238.75,0%,1671.25 USD,web
2023-04-24,p080,S026 ,C0098,4,429.73,0%,€1718.92,Wholesale
04/08/2023,p033,S018 ,C0049,3,244.5,15%,623.48 USD,web
"Feb 23, 2023",p054,S004 ,C0082,6,485.13,5%,€2765.24,in-store
2023-08-08,p033,S007 ,C0063,3,59.68,10%,€161.14,in-store
2023-10-14,p007,S031 ,C0008,6,292.85,10%,€1581.39,in-store
"Jun 11, 2023",p054,S050 ,C0079,8,368.46,15%,$2505.53,online 
2023-06-07,p024,S045 ,C0008,7,140.04,0%,€980.28,Wholesale
"Mar 30, 2023",p035,S026 ,C0016,3,316.44,10%,$854.39,web
"Sep 18, 2023",p061,S042 ,C0004,3,244.68,10%,€660.64,web
30/01/2023,p011,S007 ,C0080,3,307.51,5%,€876.4,in-store
03/07/2023,p098,S012 ,C0072,6,162.74,15%,€829.97,in-store
"Apr 16, 2023",p100,S023 ,C0094,4,27.97,15%,95.1 USD,web
"Jul 18, 2023",p095,S048 ,C0068,4,53.93,10%,€194.15,in-store
2023-06-03,p049,S040 ,C0096,6,112.78,5%,€642.85,Wholesale
"Jul 02, 2023",p002,S025 ,C0040,4,442.56,15%,1504.7 USD,online 
11/05/2023,p012,S026 ,C0062,3,298.47,15%,$761.10,in-store
"Jun 13, 2023",p009,S032 ,C0042,8,236.29,5%,€1795.8,Wholesale
"Jan 14, 2023",p002,S026 ,C0025,4,216.82,10%,$780.55,Wholesale
2023-01-27,p085,S047 ,C0099,1,250.72,5%,€238.18,web
2023-01-28,p032,S029 ,C0068,3,384.96,10%,€1039.39,in-store
23/07/2023,p013,S039 ,C0039,6,315.76,0%,€1894.56,Wholesale
08/01/2023,p040,S012 ,C0009,4,25.0,5%,$95.00,web
29/05/2023,p024,S002 ,C0073,2,414.2,0%,828.4 USD,web
2023-10-31,p043,S034 ,C0099,7,363.0,10%,€2286.9,online 
2023-07-04,p012,S022 ,C0070,7,267.81,15%,1593.47 USD,online 
27/12/2023,p089,S014 ,C0050,5,216.5,15%,$920.12,online 
2023-10-27,p051,S030 ,C0011,7,150.44,0%,$1053.08,web
18/03/2023,p056,S019 ,C0016,3,488.99,15%,€1246.92,online 
2023-05-01,p033,S040 ,C0076,2,97.34,5%,€184.95,Wholesale
16/06/2023,p050,S006 ,C0094,6,257.78,5%,1469.35 USD,in-store
04/08/2023,p074,S028 ,C0047,7,146.36,0%,€1024.52,web
11/10/2023,p025,S012 ,C0080,7,244.68,15%,$1455.85,web
20/05/2023,p020,S002 ,C0055,7,232.35,0%,€1626.45,web
2023-12-26,p023,S019 ,C0041,7,153.79,5%,€1022.7,online 
2023-06-26,p065,S005 ,C0053,5,26.53,15%,€112.75,online 
22/08/2023,p078,S026 ,C0079,6,124.84,10%,674.14 USD,online 
12/12/2023,p066,S028 ,C0005,2,54.18,15%,92.11 USD,Wholesale
2023-12-18,p010,S032 ,C0035,7,38.78,10%,$244.31,in-store
"Jul 07, 2023",p032,S044 ,C0041,2,97.13,0%,€194.26,in-store
13/12/2023,p026,S010 ,C0028,8,244.12,15%,1660.02 USD,in-store
2023-05-29,p072,S037 ,C0020,2,83.48,0%,€166.96,Wholesale
2023-03-11,p034,S049 ,C0084,7,297.54,0%,2082.78 USD,Wholesale
"Jul 15, 2023",p003,S004 ,C0055,4,236.87,0%,947.48 USD,in-store
"May 19, 2023",p039,S005 ,C0076,4,487.09,0%,€1948.36,Wholesale
"Nov 23, 2023",p085,S008 ,C0005,5,193.14,0%,$965.70,in-store
09/08/2023,p011,S012 ,C0026,1,22.49,15%,19.12 USD,online 
"Jun 05, 2023",p080,S045 ,C0017,6,32.06,0%,$192.36,online 
2023-02-16,p041,S048 ,C0021,1,234.66,0%,234.66 USD,in-store
2023-03-04,p059,S050 ,C0094,7,399.43,0%,$2796.01,Wholesale
"Nov 12, 2023",p001,S021 ,C0053,3,374.5,10%,1011.15 USD,online 
"Jun 28, 2023",p058,S001 ,C0083,4,100.37,5%,$381.41,online 
"Feb 15, 2023",p001,S025 ,C0092,8,388.36,10%,$2796.19,Wholesale
16/05/2023,p016,S015 ,C0030,1,366.13,5%,347.82 USD,in-store
"Sep 03, 2023",p077,S009 ,C0049,5,238.18,5%,€1131.36,in-store
