Inventory Date,ProductRef,StoreRef,QtyInStock,ReorderFlag
2023-12-17, P064 ,S010,162 units,no
2023-12-15, P040 ,S032,191 units,no
13/08/2023, p052 ,S047,35 units,no
"Jul 11, 2023", P067 ,S025,134 units,no
"Jun 16, 2023", P062 ,S047,140 units,no
21/11/2023, P009 ,S036,199 units,no
04/05/2023, P096 ,S042,140 units,no
2023-05-27, P007 ,S031,165 units,no
08/11/2023, P098 ,S021,8 units,yes
2023-04-21, p035 ,S042,96 units,no
"Jan 14, 2023", P040 ,S049,1 units,yes
14/03/2023, P098 ,S025,186 units,no
2023-03-05, p089 ,S039,112 units,no
"Aug 10, 2023", p085 ,S023,59 units,no
2023-08-12, P007 ,S029,195 units,no
"Oct 17, 2023", p050 ,S024,122 units,no
2023-07-20, p031 ,S008,115 units,no
"Apr 23, 2023", P099 ,S002,156 units,no
"Jun 20, 2023", p011 ,S027,118 units,no
25/01/2023, p085 ,S003,51 units,no
2023-11-24, P039 ,S019,7 units,yes
2023-05-13, P016 ,S013,163 units,no
2023-04-06, P100 ,S005,171 units,no
16/01/2023, P076 ,S029,111 units,no
"Oct 29, 2023", P065 ,S018,110 units,no
15/09/2023, p078 ,S023,130 units,no
"Jun 10, 2023", p032 ,S048,50 units,no
"Jul 15, 2023", p042 ,S016,198 units,no
30/08/2023, P019 ,S006,145 units,no
2023-03-22, P072 ,S039,175 units,no
2023-03-18, P079 ,S014,161 units,no
2023-08-21, P070 ,S012,109 units,no
2023-11-03, P023 ,S030,67 units,no
07/07/2023, P098 ,S026,86 units,no
13/03/2023, P007 ,S032,52 units,no
2023-10-16, P051 ,S001,181 units,no
"May 17, 2023", P099 ,S031,53 units,no
23/11/2023, P067 ,S044,43 units,no
2023-06-12, P096 ,S011,8 units,yes
2023-03-09, p082 ,S016,35 units,no
"Feb 14, 2023", p054 ,S026,182 units,no
"Jun 12, 2023", p087 ,S023,98 units,no
24/10/2023, P009 ,S018,38 units,no
"Apr 09, 2023", P083 ,S002,34 units,no
18/10/2023, p043 ,S026,151 units,no
2023-08-05, P065 ,S024,11 units,yes
15/09/2023, P086 ,S021,6 units,yes
"Jun 26, 2023", P084 ,S002,2 units,yes
2023-01-25, P034 ,S005,152 units,no
"Mar 06, 2023", P067 ,S026,138 units,no
2023-10-02, p017 ,S042,58 units,no
2023-11-22, p074 ,S041,123 units,no
"Oct 09, 2023", p004 ,S045,99 units,no
2023-03-16, p037 ,S034,147 units,no
29/09/2023, p060 ,S010,9 units,yes
"Dec 14, 2023", P047 ,S030,184 units,no
2023-02-26, p043 ,S025,90 units,no
06/04/2023, P047 ,S031,108 units,no
"Jul 24, 2023", P079 ,S031,99 units,no
"Feb 16, 2023", p021 ,S029,8 units,yes
"Jan 23, 2023", P030 ,S025,21 units,yes
"Sep 28, 2023", P086 ,S048,152 units,no
22/10/2023, P076 ,S004,3 units,yes
23/10/2023, p012 ,S049,197 units,no
2023-09-18, P061 ,S018,170 units,no
2023-11-17, p006 ,S009,49 units,no
2023-01-14, P046 ,S017,165 units,no
"Jun 05, 2023", P062 ,S042,29 units,yes
2023-11-21, P045 ,S035,32 units,no
18/09/2023, P045 ,S008,76 units,no
2023-10-09, p027 ,S043,120 units,no
"Jun 21, 2023", p017 ,S003,187 units,no
2023-02-02, p044 ,S037,190 units,no
2023-05-01, P051 ,S040,128 units,no
03/10/2023, P024 ,S033,170 units,no
18/08/2023, p017 ,S033,196 units,no
2023-08-12, p078 ,S040,161 units,no
2023-06-03, P069 ,S021,64 units,no
27/11/2023, P066 ,S039,80 units,no
31/01/2023, p044 ,S015,186 units,no
24/04/2023, P075 ,S017,158 units,no
12/07/2023, P086 ,S028,149 units,no
30/03/2023, p004 ,S012,184 units,no
02/03/2023, p017 ,S028,116 units,no
27/08/2023, p035 ,S030,81 units,no
2023-11-01, P016 ,S019,147 units,no
2023-05-16, P076 ,S038,4 units,yes
06/11/2023, P084 ,S006,183 units,no
21/03/2023, p044 ,S042,99 units,no
09/04/2023, p018 ,S011,155 units,no
16/12/2023, P013 ,S021,117 units,no
"Dec 04, 2023", P066 ,S025,124 units,no
07/02/2023, P046 ,S001,104 units,no
"Apr 03, 2023", p035 ,S042,7 units,yes
02/11/2023, P076 ,S010,78 units,no
2023-03-26, P056 ,S012,173 units,no
02/01/2023, P100 ,S024,152 units,no
2023-01-18, p060 ,S033,102 units,no
2023-03-12, P029 ,S032,33 units,no
17/01/2023, P096 ,S016,94 units,no
16/06/2023, p050 ,S048,49 units,no
"Jan 18, 2023", P002 ,S020,173 units,no
04/05/2023, p082 ,S046,28 units,yes
"Sep 14, 2023", P047 ,S048,159 units,no
21/09/2023, P071 ,S005,81 units,no
2023-01-15, P071 ,S026,122 units,no
"Oct 17, 2023", p060 ,S002,147 units,no
11/04/2023, P059 ,S039,164 units,no
"Oct 25, 2023", P016 ,S040,62 units,no
16/11/2023, P068 ,S004,13 units,yes
09/04/2023, p073 ,S007,38 units,no
2023-08-29, P062 ,S047,129 units,no
23/12/2023, P019 ,S025,21 units,yes
2023-02-25, p089 ,S046,1 units,yes
2023-04-07, P047 ,S034,27 units,yes
24/01/2023, p011 ,S045,175 units,no
2023-03-12, P046 ,S036,66 units,no
13/01/2023, p054 ,S048,130 units,no
2023-01-14, P051 ,S014,194 units,no
"Dec 17, 2023", p093 ,S047,0 units,yes
24/01/2023, p055 ,S021,190 units,no
"Feb 24, 2023", P079 ,S014,53 units,no
28/02/2023, p081 ,S009,88 units,no
"Mar 03, 2023", P058 ,S020,46 units,no
2023-10-02, P013 ,S023,82 units,no
2023-04-20, P014 ,S040,187 units,no
2023-01-13, p035 ,S011,47 units,no
"Feb 03, 2023", P049 ,S025,72 units,no
2023-09-16, P070 ,S030,140 units,no
"Jul 26, 2023", P061 ,S012,52 units,no
"Dec 22, 2023", P019 ,S010,104 units,no
2023-09-25, P079 ,S002,43 units,no
2023-02-13, P068 ,S006,139 units,no
"Jul 09, 2023", P029 ,S002,106 units,no
"May 28, 2023", P066 ,S023,29 units,yes
"Mar 03, 2023", P079 ,S002,178 units,no
16/02/2023, p022 ,S022,83 units,no
"Oct 13, 2023", P048 ,S026,189 units,no
2023-01-12, P045 ,S013,30 units,no
2023-07-10, p078 ,S047,54 units,no
"May 29, 2023", P009 ,S035,98 units,no
21/12/2023, P001 ,S042,139 units,no
17/05/2023, P040 ,S018,169 units,no
2023-02-13, p073 ,S027,121 units,no
"Jan 20, 2023", P039 ,S025,147 units,no
02/04/2023, P079 ,S001,63 units,no
"Jan 22, 2023", P005 ,S023,74 units,no
"Jun 08, 2023", P070 ,S020,113 units,no
04/02/2023, p037 ,S037,77 units,no
"Sep 24, 2023", p043 ,S021,145 units,no
2023-03-31, p081 ,S022,155 units,no
2023-08-22, p090 ,S009,156 units,no
2023-04-10, p011 ,S046,105 units,no
"Jun 25, 2023", P048 ,S018,149 units,no
11/11/2023, P051 ,S007,199 units,no
"Sep 15, 2023", P075 ,S033,107 units,no
16/01/2023, p044 ,S025,96 units,no
2023-04-08, p078 ,S033,56 units,no
2023-04-13, p042 ,S022,86 units,no
27/07/2023, P086 ,S009,172 units,no
2023-08-21, P007 ,S023,184 units,no
"Feb 24, 2023", P033 ,S043,80 units,no
"Nov 20, 2023", p038 ,S042,92 units,no
2023-06-08, P049 ,S011,153 units,no
05/01/2023, p004 ,S035,159 units,no
2023-05-13, P047 ,S008,100 units,no
"Mar 23, 2023", p091 ,S007,56 units,no
12/08/2023, p012 ,S001,57 units,no
05/09/2023, P033 ,S049,171 units,no
"Aug 18, 2023", P045 ,S001,152 units,no
22/07/2023, p055 ,S021,23 units,yes
"Aug 21, 2023", p052 ,S018,21 units,yes
2023-07-30, P066 ,S030,177 units,no
"Feb 06, 2023", P059 ,S032,32 units,no
"Apr 22, 2023", p026 ,S009,67 units,no
03/03/2023, p021 ,S047,79 units,no
"Aug 30, 2023", p093 ,S035,37 units,no
07/03/2023, p031 ,S013,86 units,no
08/03/2023, P009 ,S006,111 units,no
2023-10-04, p077 ,S030,96 units,no
15/08/2023, P079 ,S006,91 units,no
26/07/2023, P047 ,S030,23 units,yes
2023-10-20, P025 ,S028,174 units,no
22/01/2023, P008 ,S027,38 units,no
2023-07-23, P008 ,S031,5 units,yes
12/03/2023, P066 ,S031,130 units,no
"Oct 09, 2023", p035 ,S007,102 units,no
2023-04-08, P065 ,S021,43 units,no
2023-10-11, P084 ,S007,9 units,yes
"Apr 20, 2023", P072 ,S042,43 units,no
09/11/2023, P062 ,S030,32 units,no
2023-12-19, p089 ,S014,178 units,no
"Sep 18, 2023", P033 ,S001,48 units,no
"Jan 26, 2023", p093 ,S008,153 units,no
2023-12-07, p060 ,S019,162 units,no
28/12/2023, P048 ,S042,3 units,yes
2023-05-13, P020 ,S037,74 units,no
14/05/2023, P040 ,S013,171 units,no
24/09/2023, p078 ,S042,176 units,no
"Sep 21, 2023", P039 ,S043,147 units,no
07/08/2023, P066 ,S025,135 units,no
"Nov 29, 2023", p078 ,S024,81 units,no
2023-11-06, p027 ,S041,29 units,yes
"Oct 29, 2023", P100 ,S027,136 units,no
2023-05-02, P061 ,S023,95 units,no
20/06/2023, P098 ,S042,175 units,no
"Sep 20, 2023", p012 ,S005,135 units,no
22/05/2023, P056 ,S042,183 units,no
08/05/2023, P003 ,S039,40 units,no
2023-05-17, P069 ,S013,42 units,no
31/10/2023, p057 ,S028,134 units,no
"Dec 29, 2023", p041 ,S027,16 units,yes
03/02/2023, P086 ,S018,88 units,no
"Sep 27, 2023", p078 ,S034,116 units,no
31/08/2023, p087 ,S012,103 units,no
2023-12-15, p088 ,S049,98 units,no
01/09/2023, P005 ,S024,56 units,no
06/02/2023, P076 ,S039,126 units,no
"Aug 09, 2023", P084 ,S020,80 units,no
"Feb 02, 2023", P065 ,S011,25 units,yes
01/02/2023, p073 ,S032,148 units,no
2023-12-23, p010 ,S029,124 units,no
2023-05-29, P069 ,S040,31 units,no
24/07/2023, p041 ,S020,82 units,no
"May 11, 2023", p085 ,S026,19 units,yes
"Jun 04, 2023", P051 ,S012,156 units,no
2023-03-28, P064 ,S010,189 units,no
"Dec 24, 2023", P064 ,S008,76 units,no
2023-12-25, p073 ,S015,14 units,yes
"Apr 05, 2023", P068 ,S014,137 units,no
18/08/2023, P049 ,S011,178 units,no
"Mar 22, 2023", p050 ,S040,45 units,no
2023-07-02, p078 ,S005,76 units,no
04/06/2023, p021 ,S020,56 units,no
08/12/2023, P003 ,S020,156 units,no
06/01/2023, P076 ,S014,172 units,no
2023-03-09, P071 ,S018,134 units,no
20/08/2023, P100 ,S038,42 units,no
2023-01-11, P086 ,S034,42 units,no
"Sep 13, 2023", P065 ,S036,134 units,no
2023-01-06, p041 ,S007,108 units,no
2023-08-13, p077 ,S040,122 units,no
"Feb 16, 2023", p082 ,S033,141 units,no
06/09/2023, P051 ,S036,78 units,no
2023-05-27, P013 ,S037,8 units,yes
24/12/2023, P007 ,S012,25 units,yes
14/01/2023, P067 ,S014,133 units,no
2023-12-07, p087 ,S033,175 units,no
13/09/2023, p028 ,S046,106 units,no
05/03/2023, p085 ,S002,62 units,no
02/10/2023, p050 ,S050,115 units,no
"Aug 25, 2023", p010 ,S014,78 units,no
"Dec 07, 2023", P056 ,S034,6 units,yes
13/11/2023, p032 ,S010,79 units,no
16/11/2023, P049 ,S048,79 units,no
2023-09-13, p050 ,S011,121 units,no
"Jan 01, 2023", P065 ,S025,94 units,no
23/04/2023, p089 ,S015,133 units,no
"Dec 19, 2023", P099 ,S043,173 units,no
"Jan 10, 2023", P019 ,S035,54 units,no
"Sep 06, 2023", p052 ,S012,49 units,no
"Jun 05, 2023", P051 ,S022,126 units,no
2023-11-20, p054 ,S005,106 units,no
20/11/2023, p017 ,S021,179 units,no
2023-02-24, P003 ,S012,147 units,no
2023-05-27, P023 ,S015,197 units,no
2023-01-26, P024 ,S006,103 units,no
2023-04-19, p093 ,S019,193 units,no
"Feb 13, 2023", P036 ,S033,33 units,no
"Mar 22, 2023", P066 ,S030,134 units,no
29/05/2023, P096 ,S043,13 units,yes
26/08/2023, p077 ,S013,40 units,no
2023-03-22, P024 ,S007,177 units,no
"Aug 09, 2023", p010 ,S035,133 units,no
24/01/2023, p055 ,S012,197 units,no
23/01/2023, P030 ,S034,3 units,yes
2023-10-20, P071 ,S006,9 units,yes
2023-11-16, p015 ,S047,76 units,no
2023-11-06, P003 ,S038,125 units,no
14/07/2023, P039 ,S008,9 units,yes
02/11/2023, p095 ,S001,122 units,no
17/04/2023, P019 ,S030,104 units,no
"Sep 01, 2023", p042 ,S035,64 units,no
09/09/2023, p011 ,S024,126 units,no
04/09/2023, p004 ,S011,103 units,no
16/03/2023, p042 ,S024,145 units,no
27/01/2023, P008 ,S006,61 units,no
2023-06-27, P062 ,S038,2 units,yes
2023-11-27, p054 ,S045,4 units,yes
2023-02-09, p089 ,S048,197 units,no
"Jan 06, 2023", p017 ,S009,168 units,no
05/11/2023, P062 ,S017,34 units,no
"Sep 20, 2023", p026 ,S002,6 units,yes
03/03/2023, P058 ,S018,142 units,no
19/05/2023, p054 ,S006,32 units,no
2023-03-12, P061 ,S025,23 units,yes
18/03/2023, P009 ,S023,84 units,no
"Oct 31, 2023", p088 ,S019,52 units,no
"Apr 10, 2023", p010 ,S015,98 units,no
"Jan 30, 2023", p095 ,S007,91 units,no
2023-08-12, P069 ,S032,136 units,no
2023-03-16, P056 ,S017,189 units,no
"Mar 24, 2023", p050 ,S028,117 units,no
2023-01-26, P070 ,S020,41 units,no
14/04/2023, p050 ,S011,93 units,no
2023-06-15, p004 ,S015,43 units,no
"Aug 23, 2023", P024 ,S003,66 units,no
2023-04-16, P030 ,S027,126 units,no
2023-03-11, p055 ,S030,134 units,no
"Jun 11, 2023", p012 ,S025,47 units,no
"Aug 07, 2023", P014 ,S017,18 units,yes
2023-10-22, P099 ,S011,114 units,no
2023-07-23, p006 ,S031,138 units,no
05/01/2023, P099 ,S014,193 units,no
24/01/2023, P084 ,S019,5 units,yes
29/05/2023, P008 ,S017,11 units,yes
2023-02-07, P045 ,S022,75 units,no
"Mar 25, 2023", P030 ,S009,3 units,yes
16/01/2023, p006 ,S004,145 units,no
18/12/2023, P072 ,S012,183 units,no
"May 18, 2023", p017 ,S019,46 units,no
31/12/2023, P068 ,S044,0 units,yes
"Nov 23, 2023", p057 ,S044,183 units,no
2023-04-08, P016 ,S025,195 units,no
"Jun 27, 2023", p080 ,S050,74 units,no
2023-06-14, P036 ,S016,61 units,no
"Dec 27, 2023", p006 ,S045,162 units,no
"Sep 16, 2023", p012 ,S019,69 units,no
17/03/2023, p028 ,S030,59 units,no
2023-12-23, P036 ,S006,29 units,yes
28/08/2023, p011 ,S006,89 units,no
29/01/2023, P029 ,S021,72 units,no
12/08/2023, p073 ,S048,117 units,no
2023-12-09, P079 ,S021,132 units,no
2023-12-31, p087 ,S011,103 units,no
"Dec 30, 2023", p011 ,S008,116 units,no
2023-05-26, p097 ,S022,28 units,yes
13/10/2023, p018 ,S019,189 units,no
"Jun 28, 2023", P008 ,S027,195 units,no
2023-09-29, p017 ,S044,88 units,no
"Sep 13, 2023", P048 ,S049,64 units,no
"Aug 18, 2023", P016 ,S021,67 units,no
06/06/2023, P098 ,S024,15 units,yes
21/01/2023, P100 ,S030,20 units,yes
29/11/2023, p085 ,S047,147 units,no
"Feb 17, 2023", P039 ,S005,16 units,yes
2023-11-24, p089 ,S035,155 units,no
"Mar 09, 2023", P098 ,S044,96 units,no
"May 19, 2023", P099 ,S005,86 units,no
22/09/2023, p044 ,S028,198 units,no
"Jul 02, 2023", P002 ,S031,121 units,no
23/04/2023, p091 ,S017,70 units,no
20/02/2023, p022 ,S017,38 units,no
18/07/2023, P029 ,S002,152 units,no
06/11/2023, p043 ,S023,191 units,no
"Mar 04, 2023", p032 ,S021,108 units,no
"Mar 18, 2023", P014 ,S013,177 units,no
03/02/2023, p028 ,S008,80 units,no
"Nov 28, 2023", P014 ,S019,26 units,yes
06/09/2023, P030 ,S039,6 units,yes
11/09/2023, p042 ,S005,163 units,no
2023-01-02, p089 ,S039,13 units,yes
"Jun 02, 2023", p089 ,S015,132 units,no
"Nov 13, 2023", P086 ,S046,187 units,no
"Jan 06, 2023", P029 ,S039,72 units,no
2023-09-11, p093 ,S026,5 units,yes
05/11/2023, P040 ,S022,138 units,no
"Oct 23, 2023", p081 ,S049,196 units,no
19/05/2023, P013 ,S047,43 units,no
"Oct 18, 2023", P059 ,S004,111 units,no
2023-07-26, p027 ,S020,63 units,no
23/11/2023, p044 ,S042,181 units,no
18/04/2023, P083 ,S040,47 units,no
2023-11-23, p080 ,S028,36 units,no
"Jun 23, 2023", P023 ,S029,168 units,no
2023-11-21, P029 ,S018,167 units,no
2023-05-22, P098 ,S014,0 units,yes
"Aug 09, 2023", p060 ,S035,199 units,no
2023-11-25, P098 ,S020,197 units,no
17/06/2023, P098 ,S041,156 units,no
"Jul 28, 2023", p077 ,S015,20 units,yes
18/03/2023, p073 ,S031,93 units,no
27/01/2023, P002 ,S010,96 units,no
2023-05-28, p006 ,S029,170 units,no
"Oct 18, 2023", P039 ,S047,77 units,no
10/11/2023, p031 ,S006,53 units,no
29/03/2023, p017 ,S047,124 units,no
2023-10-08, P059 ,S023,123 units,no
27/07/2023, P071 ,S040,133 units,no
"May 03, 2023", p081 ,S013,62 units,no
2023-12-14, p077 ,S047,77 units,no
13/02/2023, p006 ,S045,74 units,no
"Sep 07, 2023", P061 ,S010,102 units,no
"Mar 11, 2023", P083 ,S025,63 units,no
"Oct 28, 2023", p006 ,S018,182 units,no
29/09/2023, p018 ,S009,182 units,no
2023-07-08, p035 ,S010,123 units,no
03/11/2023, P023 ,S014,29 units,yes
"Dec 09, 2023", P079 ,S045,114 units,no
2023-12-07, P047 ,S010,184 units,no
"Feb 17, 2023", p032 ,S012,156 units,no
2023-06-07, p010 ,S014,165 units,no
"Mar 10, 2023", P051 ,S015,69 units,no
30/01/2023, P025 ,S001,177 units,no
"May 04, 2023", P063 ,S040,111 units,no
2023-06-09, P003 ,S038,199 units,no
10/04/2023, p057 ,S013,143 units,no
09/02/2023, p028 ,S021,69 units,no
"Apr 25, 2023", p087 ,S034,33 units,no
18/03/2023, P005 ,S027,135 units,no
21/01/2023, p026 ,S017,149 units,no
"Oct 29, 2023", P063 ,S049,31 units,no
2023-09-23, P069 ,S010,128 units,no
"Sep 20, 2023", p011 ,S011,98 units,no
"Sep 20, 2023", p010 ,S028,10 units,yes
24/04/2023, P075 ,S001,60 units,no
"Nov 20, 2023", p022 ,S025,111 units,no
03/08/2023, p032 ,S037,147 units,no
"Sep 24, 2023", P033 ,S019,63 units,no
2023-08-14, p004 ,S023,86 units,no
27/06/2023, p022 ,S032,194 units,no
2023-02-12, p035 ,S034,29 units,yes
"Jul 08, 2023", P034 ,S001,96 units,no
09/03/2023, P008 ,S042,64 units,no
"May 07, 2023", P066 ,S046,12 units,yes
2023-07-04, P033 ,S041,61 units,no
2023-04-25, p050 ,S021,74 units,no
"Feb 13, 2023", P001 ,S026,69 units,no
05/01/2023, P096 ,S033,59 units,no
02/11/2023, P014 ,S050,191 units,no
01/05/2023, P083 ,S028,189 units,no
2023-09-07, P046 ,S016,104 units,no
2023-10-17, P033 ,S043,192 units,no
28/03/2023, P068 ,S004,128 units,no
2023-02-20, p054 ,S022,29 units,yes
2023-01-17, P062 ,S002,74 units,no
"Aug 24, 2023", p057 ,S030,154 units,no
"Mar 09, 2023", P098 ,S027,60 units,no
09/02/2023, P002 ,S020,189 units,no
2023-12-13, p042 ,S019,27 units,yes
2023-04-06, P034 ,S044,49 units,no
2023-02-05, p085 ,S028,192 units,no
25/08/2023, P069 ,S002,183 units,no
04/07/2023, P072 ,S044,66 units,no
"Aug 19, 2023", p085 ,S009,89 units,no
2023-12-26, p093 ,S004,90 units,no
15/09/2023, p057 ,S025,118 units,no
2023-12-09, P039 ,S045,9 units,yes
19/10/2023, P067 ,S023,178 units,no
"Apr 23, 2023", p055 ,S013,2 units,yes
"Dec 16, 2023", P048 ,S002,33 units,no
17/10/2023, P003 ,S024,177 units,no
31/05/2023, P058 ,S006,140 units,no
2023-11-26, p028 ,S031,61 units,no
27/03/2023, P094 ,S038,63 units,no
2023-10-26, p082 ,S024,36 units,no
"Mar 31, 2023", p050 ,S037,14 units,yes
2023-10-07, p095 ,S049,157 units,no
12/07/2023, P001 ,S024,82 units,no
2023-08-04, p011 ,S039,6 units,yes
29/11/2023, P030 ,S003,193 units,no
"Feb 04, 2023", P063 ,S025,14 units,yes
03/06/2023, P059 ,S001,169 units,no
10/05/2023, p017 ,S044,68 units,no
2023-09-13, P016 ,S003,139 units,no
2023-01-10, p080 ,S020,61 units,no
"Feb 15, 2023", p022 ,S010,161 units,no
2023-01-15, p043 ,S037,46 units,no
"Aug 24, 2023", P096 ,S017,41 units,no
"Feb 19, 2023", P033 ,S037,188 units,no
2023-01-15, P067 ,S024,178 units,no
"Nov 20, 2023", P009 ,S047,74 units,no
"Dec 29, 2023", P083 ,S005,79 units,no
02/05/2023, p082 ,S008,174 units,no
11/03/2023, p057 ,S024,88 units,no
19/07/2023, P039 ,S040,175 units,no
26/06/2023, p097 ,S046,140 units,no
"Nov 27, 2023", P083 ,S036,84 units,no
2023-12-16, P059 ,S005,143 units,no
"Sep 03, 2023", p054 ,S011,153 units,no
2023-07-14, P024 ,S024,64 units,no
2023-09-07, p021 ,S014,183 units,no
12/01/2023, P001 ,S030,138 units,no
"Mar 16, 2023", P064 ,S019,119 units,no
28/10/2023, P047 ,S015,52 units,no
08/01/2023, p032 ,S014,41 units,no
03/09/2023, p089 ,S018,107 units,no
23/05/2023, P003 ,S040,21 units,yes
"Jan 06, 2023", p038 ,S036,44 units,no
"Oct 30, 2023", P005 ,S017,42 units,no
"Mar 13, 2023", P083 ,S011,40 units,no
24/06/2023, p060 ,S024,13 units,yes
2023-11-11, P086 ,S001,139 units,no
2023-03-11, p054 ,S012,14 units,yes
2023-08-31, P013 ,S024,54 units,no
22/05/2023, P062 ,S023,9 units,yes
"Dec 10, 2023", P001 ,S010,116 units,no
2023-08-12, p041 ,S001,18 units,yes
"Dec 10, 2023", p060 ,S035,12 units,yes
23/01/2023, P075 ,S031,68 units,no
"Jun 02, 2023", P062 ,S023,117 units,no
2023-10-01, P086 ,S043,33 units,no
"Feb 11, 2023", p010 ,S031,8 units,yes
"Feb 03, 2023", P048 ,S002,104 units,no
05/08/2023, P003 ,S033,74 units,no
"Jan 08, 2023", p092 ,S012,32 units,no
20/12/2023, p054 ,S017,198 units,no
2023-01-16, p042 ,S010,159 units,no
"Mar 18, 2023", p043 ,S004,140 units,no
2023-05-02, p073 ,S004,73 units,no
2023-12-12, p026 ,S041,1 units,yes
08/05/2023, P008 ,S030,25 units,yes
"Apr 17, 2023", p055 ,S032,172 units,no
12/11/2023, p012 ,S045,185 units,no
01/10/2023, P099 ,S021,35 units,no
16/07/2023, P072 ,S040,198 units,no
"Apr 20, 2023", P009 ,S013,44 units,no
24/09/2023, P063 ,S019,63 units,no
08/08/2023, P094 ,S043,92 units,no
2023-09-19, P013 ,S022,62 units,no
"Jul 21, 2023", P002 ,S050,26 units,yes
10/10/2023, P025 ,S039,82 units,no
30/07/2023, p038 ,S028,15 units,yes
13/05/2023, p043 ,S043,157 units,no
2023-05-29, p052 ,S013,137 units,no
12/10/2023, p010 ,S041,121 units,no
20/05/2023, p057 ,S006,115 units,no
31/03/2023, p011 ,S003,37 units,no
2023-06-19, P024 ,S034,20 units,yes
2023-08-03, P086 ,S022,56 units,no
17/10/2023, p050 ,S041,104 units,no
27/02/2023, P039 ,S005,101 units,no
2023-06-27, p057 ,S047,70 units,no
05/10/2023, p010 ,S023,80 units,no
"Feb 05, 2023", P068 ,S011,55 units,no
"Feb 08, 2023", P046 ,S025,97 units,no
2023-05-17, P072 ,S050,122 units,no
2023-04-09, P036 ,S034,61 units,no
12/02/2023, P063 ,S041,6 units,yes
10/05/2023, p089 ,S034,67 units,no
2023-07-30, P063 ,S031,104 units,no
"Feb 08, 2023", p015 ,S008,19 units,yes
"Jan 14, 2023", P003 ,S027,133 units,no
21/09/2023, P029 ,S020,112 units,no
"Sep 23, 2023", P025 ,S002,68 units,no
2023-07-13, p091 ,S031,137 units,no
07/12/2023, P039 ,S027,144 units,no
2023-07-15, P072 ,S037,10 units,yes
2023-05-22, P040 ,S046,39 units,no
"Dec 24, 2023", p044 ,S036,12 units,yes
2023-04-18, p011 ,S020,132 units,no
"Nov 15, 2023", P070 ,S019,112 units,no
31/01/2023, P068 ,S025,61 units,no
"Sep 05, 2023", P040 ,S041,120 units,no
15/04/2023, p038 ,S026,33 units,no
2023-03-08, P030 ,S033,159 units,no
"May 21, 2023", p089 ,S005,176 units,no
04/08/2023, P003 ,S012,82 units,no
03/05/2023, p057 ,S038,38 units,no
20/02/2023, p010 ,S046,184 units,no
2023-02-18, p015 ,S026,72 units,no
"May 10, 2023", P040 ,S005,113 units,no
10/12/2023, P048 ,S023,145 units,no
2023-08-12, P064 ,S019,12 units,yes
2023-06-07, p087 ,S043,58 units,no
"Aug 29, 2023", p054 ,S026,1 units,yes
2023-08-09, P086 ,S027,142 units,no
"Feb 16, 2023", P001 ,S023,186 units,no
06/05/2023, p080 ,S021,12 units,yes
10/06/2023, P033 ,S031,162 units,no
2023-11-15, P072 ,S013,125 units,no
